City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,tiadiaye,14.4167,-16.7,21.45,17,88,3.82,SN,2024-01-01
322,mangrol,21.1167,70.1167,24.35,36,0,5.33,IN,2024-01-01
323,cowansville,45.2001,-72.7491,-3.38,78,80,2.06,CA,2024-01-01
324,saint-pierre,-21.3393,55.4781,28.82,70,73,4.63,RE,2024-01-01
325,walvis bay,-22.9575,14.5053,17.69,75,0,1.06,NA,2024-01-01
326,ashland,40.8167,-82.2665,0.49,97,100,4.15,US,2024-01-01
327,burgersdorp,-30.9977,26.3286,16.35,69,6,5.1,ZA,2024-01-01
328,rio preto da eva,-2.6994,-59.6997,23.91,97,21,0.52,BR,2024-01-01
329,taoudenni,22.6783,-3.9836,16.08,22,0,4.08,ML,2024-01-01
330,northam,51.0333,-4.2167,8.67,80,72,8.81,GB,2024-01-01
331,georgetown,5.4112,100.3354,30.96,74,20,4.12,MY,2024-01-01
332,port-vila,-17.7338,168.3219,27.62,72,72,6.51,VU,2024-01-01
333,cururupu,-1.8283,-44.8683,23.52,96,95,0.93,BR,2024-01-01
334,meknes,33.9776,-5.525,12.42,45,100,1.35,MA,2024-01-01
335,choma,-16.8065,26.9531,19.76,81,90,1.2,ZM,2024-01-01
336,nizhneangarsk,55.7833,109.55,-11.11,95,100,0.45,RU,2024-01-01
337,mili,6.0815,171.735,28.04,80,8,7.78,MH,2024-01-01
338,tarko-sale,64.9225,77.785,-26.38,100,98,3.08,RU,2024-01-01
339,cedral,23.8,-100.7333,13.61,28,91,1.65,MX,2024-01-01
